decade,word,tf,occurrences
1600-1650,sultan,0.002369668246445498,[62977]
1600-1650,turk,0.002369668246445498,[62977]
1600-1650,univers,0.004739336492890996,"[64903, 70975]"
1600-1650,cambridg,0.002369668246445498,[64903]
1600-1650,common,0.004739336492890996,"[64910, 80019]"
1600-1650,devot,0.002369668246445498,[64917]
1600-1650,westminst,0.002369668246445498,[64920]
1600-1650,farewel,0.002369668246445498,[65634]
1600-1650,roundhead,0.002369668246445498,[65639]
1600-1650,public,0.004739336492890996,"[66229, 89728]"
1600-1650,offic,0.002369668246445498,[66229]
1600-1650,jewelri,0.002369668246445498,[68040]
1600-1650,orang,0.002369668246445498,[69113]
1600-1650,colleg,0.002369668246445498,[70975]
1600-1650,proverb,0.002369668246445498,[73135]
1600-1650,solemn,0.002369668246445498,[73654]
1600-1650,leagu,0.002369668246445498,[73654]
1600-1650,coven,0.002369668246445498,[73654]
1600-1650,de,0.004739336492890996,"[75247, 91485]"
1600-1650,hotham,0.002369668246445498,[76974]
1600-1650,devil,0.002369668246445498,[78372]
1600-1650,jew,0.002369668246445498,[79176]
1600-1650,corpor,0.002369668246445498,[80019]
1600-1650,court,0.002369668246445498,[80019]
1600-1650,clergi,0.002369668246445498,[80817]
1600-1650,duel,0.002369668246445498,[81298]
1600-1650,preced,0.002369668246445498,[81327]
1600-1650,crop,0.002369668246445498,[81333]
1600-1650,residu,0.002369668246445498,[81333]
1600-1650,postal,0.002369668246445498,[83092]
1600-1650,servic,0.002369668246445498,[83092]
1600-1650,procedur,0.002369668246445498,[83654]
1600-1650,heidelberg,0.002369668246445498,[84877]
1600-1650,iconoclasm,0.002369668246445498,[85370]
1600-1650,geographi,0.002369668246445498,[86710]
1600-1650,paint,0.002369668246445498,[86729]
1600-1650,covenant,0.002369668246445498,[87102]
1600-1650,episcopaci,0.002369668246445498,[88036]
1600-1650,conscienc,0.002369668246445498,[90087]
1600-1650,last,0.002369668246445498,[90089]
1600-1650,word,0.002369668246445498,[90089]
1600-1650,chillingworth,0.002369668246445498,[90091]
1600-1650,william,0.002369668246445498,[90091]
1600-1650,giessen,0.002369668246445498,[91484]
1600-1650,strasbourg,0.002369668246445498,[91485]
1600-1650,ii,0.002369668246445498,[91485]
1600-1650,scienc,0.002369668246445498,[91485]
1600-1650,humain,0.002369668246445498,[91485]
1650-1700,church,0.03873239436619718,"[497, 4222, 4444, 11530, 11536, 16142, 20338, 23776, 23833, 27450, 27453, 30614, 30626, 30636, 34100, 39424, 41917, 41923, 43666, 43677, 50335, 50338, 50342, 53581, 55135, 59958, 61496, 62686, 65530, 65998, 71515, 72331, 91515]"
1650-1700,histori,0.0035211267605633804,"[497, 3760, 4413]"
1650-1700,blasphemi,0.0011737089201877935,[498]
1650-1700,geographi,0.0011737089201877935,[999]
1650-1700,lord,0.002347417840375587,"[1019, 41932]"
1650-1700,supper,0.002347417840375587,"[1019, 41932]"
1650-1700,shaftesburi,0.0011737089201877935,[1137]
1650-1700,anthoni,0.0011737089201877935,[1137]
1650-1700,ashley,0.0011737089201877935,[1137]
1650-1700,cooper,0.0011737089201877935,[1137]
1650-1700,earl,0.002347417840375587,"[1137, 57580]"
1650-1700,broadsid,0.023474178403755867,"[1138, 1139, 1141, 1143, 1144, 1145, 10533, 34616, 34618, 34619, 34620, 34621, 34622, 34623, 34624, 34625, 41940, 59073, 59074, 59075]"
1650-1700,papal,0.0011737089201877935,[1333]
1650-1700,document,0.0011737089201877935,[1333]
1650-1700,land,0.002347417840375587,"[1336, 66696]"
1650-1700,tenur,0.0011737089201877935,[1336]
1650-1700,jurisdict,0.002347417840375587,"[1346, 13902]"
1650-1700,canon,0.004694835680751174,"[1346, 33908, 34991, 85297]"
