decade,word,tf,occurrences
1500-1550,sacrobosco,0.004081632653061225,[85431]
1500-1550,ficino,0.004081632653061225,[86512]
1500-1550,ariosto,0.004081632653061225,[86516]
1500-1550,lambsheim,0.004081632653061225,[86617]
1500-1550,bothwel,0.004081632653061225,[86722]
1500-1550,adam,0.004081632653061225,[86722]
1500-1550,bishop,0.004081632653061225,[86722]
1500-1550,bonhor,0.004081632653061225,[87037]
1500-1550,honnor,0.004081632653061225,[87037]
1500-1550,gengel,0.004081632653061225,[88171]
1500-1550,detmar,0.004081632653061225,[88171]
1500-1550,creutzig,0.004081632653061225,[88174]
1500-1550,caspar,0.004081632653061225,[88174]
1500-1550,mameranu,0.004081632653061225,[88183]
1500-1550,nicolau,0.004081632653061225,[88183]
1500-1550,zwick,0.004081632653061225,[88187]
1500-1550,adressat,0.004081632653061225,[88187]
1500-1550,rhegiu,0.004081632653061225,[88870]
1500-1550,urbanu,0.004081632653061225,[88870]
1500-1550,phavorinu,0.004081632653061225,[90966]
1500-1550,guarinu,0.004081632653061225,[90966]
1500-1550,amerbach,0.004081632653061225,[90978]
1500-1550,mattioli,0.004081632653061225,[90982]
1500-1550,pietro,0.004081632653061225,[90982]
1500-1550,andrea,0.004081632653061225,[90982]
1500-1550,czeler,0.004081632653061225,[90983]
1500-1550,georg,0.004081632653061225,[90983]
1500-1550,leroy,0.004081632653061225,[90985]
1500-1550,loy,0.004081632653061225,[90985]
1500-1550,jerom,0.004081632653061225,[91563]
1550-1600,balduinu,0.0017889087656529517,[531]
1550-1600,hieronymu,0.01073345259391771,"[531, 14280, 23577, 72601, 86510, 86546]"
1550-1600,domu,0.0017889087656529517,[1164]
1550-1600,pariensi,0.0017889087656529517,[1164]
1550-1600,soc,0.0017889087656529517,[1164]
1550-1600,jesu,0.0017889087656529517,[1164]
1550-1600,former,0.025044722719141325,"[1164, 4269, 15478, 16780, 23564, 23580, 35547, 60586, 66236, 69689, 71856, 77196, 82172, 91038]"
1550-1600,jameson,0.0017889087656529517,[4269]
1550-1600,becon,0.0017889087656529517,[4450]
1550-1600,attribut,0.0035778175313059034,"[4450, 45723]"
1550-1600,name,0.005366726296958855,"[4450, 14247, 45723]"
1550-1600,herrey,0.0017889087656529517,[4457]
1550-1600,robert,0.005366726296958855,"[4457, 14293, 38340]"
1550-1600,f,0.0017889087656529517,[4457]
1550-1600,lockeliu,0.0017889087656529517,[5883]
1550-1600,jacobu,0.0017889087656529517,[5883]
1550-1600,mon,0.0035778175313059034,"[8648, 68541]"
1550-1600,sancti,0.0017889087656529517,[8648]
1550-1600,bonaventura,0.0017889087656529517,[8648]
1550-1600,england,0.0017889087656529517,[9520]
1550-1600,elizabeth,0.0017889087656529517,[9520]
1550-1600,robertson,0.0017889087656529517,[11812]
1550-1600,andrew,0.0017889087656529517,[11812]
1550-1600,aberdeen,0.0017889087656529517,[11812]
1550-1600,robortello,0.0017889087656529517,[12378]
1550-1600,francesco,0.005366726296958855,"[12378, 13808, 18949]"
1550-1600,jame,0.005366726296958855,"[12868, 23580, 77196]"
